Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,87887.000000,91479.000000,87536.000000,91012.000000,91012.000000,5615400
2019-01-03,91011.000000,91596.000000,89922.000000,91564.000000,91564.000000,6066200
2019-01-04,91577.000000,92701.000000,90824.000000,91841.000000,91841.000000,5322100
2019-01-07,91845.000000,92552.000000,91288.000000,91699.000000,91699.000000,4565000
2019-01-08,91699.000000,92231.000000,91064.000000,92032.000000,92032.000000,4496500
2019-01-09,92033.000000,93626.000000,92028.000000,93613.000000,93613.000000,5011400
2019-01-10,93599.000000,93987.000000,93050.000000,93806.000000,93806.000000,4840600
2019-01-11,93806.000000,93961.000000,93359.000000,93658.000000,93658.000000,5330500
2019-01-14,93645.000000,94474.000000,93335.000000,94474.000000,94474.000000,4486900
2019-01-15,94474.000000,94695.000000,93402.000000,94056.000000,94056.000000,4836400
2019-01-16,94057.000000,94393.000000,93687.000000,94393.000000,94393.000000,4257400
2019-01-17,94393.000000,95682.000000,93950.000000,95351.000000,95351.000000,4944200
2019-01-18,95386.000000,96396.000000,95386.000000,96097.000000,96097.000000,4884000
2019-01-21,96093.000000,96093.000000,94863.000000,96010.000000,96010.000000,2717600
2019-01-22,96008.000000,96070.000000,94662.000000,95103.000000,95103.000000,4256000
2019-01-23,95116.000000,96576.000000,95116.000000,96558.000000,96558.000000,0
2019-01-24,96558.000000,97677.000000,96558.000000,97677.000000,97677.000000,5019400
2019-01-28,97674.000000,97937.000000,94783.000000,95444.000000,95444.000000,7185300
2019-01-29,95508.000000,96751.000000,95508.000000,95639.000000,95639.000000,5262000
2019-01-30,95643.000000,97107.000000,95643.000000,96996.000000,96996.000000,6164400
2019-01-31,96996.000000,98405.000000,96996.000000,97394.000000,97394.000000,5976000
2019-02-01,97395.000000,98044.000000,96990.000000,97861.000000,97861.000000,4301600
2019-02-04,97861.000000,98589.000000,96901.000000,98589.000000,98589.000000,4278300
2019-02-05,98587.000000,98587.000000,97596.000000,98311.000000,98311.000000,4773700
2019-02-06,98308.000000,98308.000000,94636.000000,94636.000000,94636.000000,5458200
2019-02-07,94654.000000,95642.000000,93507.000000,94406.000000,94406.000000,5612500
2019-02-08,94401.000000,95486.000000,93424.000000,95343.000000,95343.000000,5302500
2019-02-11,95351.000000,95499.000000,93737.000000,94413.000000,94413.000000,3767300
2019-02-12,94420.000000,96571.000000,94420.000000,96168.000000,96168.000000,4915000
2019-02-13,96169.000000,96804.000000,95389.000000,95842.000000,95842.000000,5814400
2019-02-14,95843.000000,98019.000000,94915.000000,98015.000000,98015.000000,5222300
2019-02-15,98015.000000,98238.000000,97083.000000,97526.000000,97526.000000,4586300
2019-02-18,97527.000000,97527.000000,96239.000000,96510.000000,96510.000000,2837100
2019-02-19,96513.000000,98185.000000,96513.000000,97659.000000,97659.000000,4830600
2019-02-20,97661.000000,98544.000000,96545.000000,96545.000000,96545.000000,5906800
2019-02-21,96546.000000,97231.000000,95793.000000,96932.000000,96932.000000,5814100
2019-02-22,96929.000000,97887.000000,96929.000000,97886.000000,97886.000000,4426600
2019-02-25,97881.000000,98190.000000,97087.000000,97240.000000,97240.000000,4360000
2019-02-26,97242.000000,97904.000000,97235.000000,97603.000000,97603.000000,3555100
2019-02-27,97603.000000,97782.000000,96886.000000,97307.000000,97307.000000,3873500
2019-02-28,97307.000000,97528.000000,95364.000000,95584.000000,95584.000000,5365700
2019-03-01,95584.000000,96113.000000,94394.000000,94604.000000,94604.000000,4054700
2019-03-06,94604.000000,94889.000000,93945.000000,94217.000000,94217.000000,2715300
2019-03-07,94216.000000,94532.000000,93729.000000,94340.000000,94340.000000,4104300
2019-03-08,94340.000000,95476.000000,93305.000000,95365.000000,95365.000000,4054200
2019-03-11,95384.000000,98027.000000,95384.000000,98027.000000,98027.000000,4251500
2019-03-12,98038.000000,98150.000000,97267.000000,97828.000000,97828.000000,3832900
2019-03-13,97831.000000,99267.000000,97464.000000,98904.000000,98904.000000,4812100
2019-03-14,98905.000000,99036.000000,97776.000000,98605.000000,98605.000000,3584500
2019-03-15,98605.000000,99393.000000,98597.000000,99137.000000,99137.000000,5136400
2019-03-18,99141.000000,100038.000000,99141.000000,99994.000000,99994.000000,4204100
2019-03-19,99991.000000,100439.000000,99373.000000,99588.000000,99588.000000,5231100
2019-03-20,99588.000000,99708.000000,97981.000000,98041.000000,98041.000000,4633200
2019-03-21,98041.000000,98046.000000,95456.000000,96729.000000,96729.000000,5321200
2019-03-22,96725.000000,96725.000000,93380.000000,93735.000000,93735.000000,6001100
2019-03-25,93735.000000,94384.000000,93103.000000,93662.000000,93662.000000,4508400
2019-03-26,93668.000000,95525.000000,93668.000000,95307.000000,95307.000000,4660700
2019-03-27,95297.000000,95297.000000,91903.000000,91903.000000,91903.000000,5726900
2019-03-28,91901.000000,94854.000000,91584.000000,94389.000000,94389.000000,5192300
2019-03-29,94402.000000,95863.000000,94402.000000,95415.000000,95415.000000,4674600
